idiom,pinyin,explanation,originate,example,pyorder,frequency
坚定不移,jiān  dìng  bù  yí,稳定坚强，毫不动摇。,宋·司马光《资治通鉴·唐记·文宗开成五年》：“推心委任，坚定不移，则天下何忧不理哉！”,我们要～地走改革开放的道路。,jdby,54113
全力以赴,quán  lì  yǐ  fù,赴：前往。把全部力量都投入进去。,,,qlyf,36156
余波未平,yú  bō  wèi  píng,指某一事件虽然结束了，可是留下的影响还在起作用。,,,ybwp,32967
脱颖而出,tuō  yǐng  ér  chū,颖：尖子。锥尖透过布囊显露出来。比喻本领全部显露出来。,《史记·平原君虞卿列传》：“使遂早得处囊中，乃脱颖而出，非特其末见而已。”,经过艰苦努力，他的学习成绩终于在全班～。,tyec,31974
实事求是,shí  shì  qiú  shì,指从实际对象出发，探求事物的内部联系及其发展的规律性，认识事物的本质。通常指按照事物的实际情况办事。,《汉书·河间献王刘德传》：“修学好古，实事求是。”,总结经验要～，不可弄虚做假。,ssqs,31565
一如既往,yī  rú  jì  wǎng,指态度没有变化，完全象从前一样。,,,yrjw,30338
众所周知,zhòng  suǒ  zhōu  zhī,大家普遍知道的。,,～，人民群众是历史的创造者。,zszz,29469
因地制宜,yīn  dì  zhì  yí,因：依据；制：制定；宜：适当的措施。根据各地的具体情况，制定适宜的办法。,汉·赵晔《吴越春秋·阖闾内传》：“夫筑城郭，立仓库，因地制宜，岂有天气之数以威邻国者乎？”,,ydzy,27805
千方百计,qiān  fāng  bǎi  jì,想尽或用尽一切办法。,《朱子语类·论语十七》：“譬如捉贼相似，须是着起气力精神，千方百计去赶他。”,这个老匪开初～想收买这支已经武装了的工人队伍，可是工人们坚决拒绝加入匪股。（曲波《林海雪原》十四）,qfbj,27561
息息相关,xī  xī  xiāng  guān,息：呼吸时进出的气。呼吸也相互关联。形容彼此的关系非常密切。,,水是生命的源泉，水与生命的起源～。,xxxg,25804
层出不穷,céng  chū  bù qióng,层：重复；穷：尽。接连不断地出现，没有穷尽。,唐·韩愈《贞曜先生墓志铭》：“神施鬼设，间见层出。”《唐书·艺文志》：“历代盛衰，文章与时高下；然其变能百出，不可穷极，何其兴衰。”,爱国精神之表现于中外文学里已经是～的，数不胜数了。（闻一多《文艺与爱国——纪念三月十八》）,ccbq,25301
引人注目,yǐn  rén  zhù  mù,注目：注视。吸引人们注意。,,也有敲打铜锣，高举旗帜，～的。（毛泽东《湖南农民运动考察报告》）,yrzm,24076
当务之急,dāng  wù  zhī  jí,当务：指应当办理的事。当前任务中最急切要办的事。,《孟子·尽心上》：“知者无不知也，当务之为急；仁者无不爱也，急亲贤之为务。”,今学者～，曰中国古今史，曰泰东西古近史。（清·沈惟贤《万国演义序》）,dwzj,22965
滥用职权,làn  yòng  zhí quán,指过分地或非法地行使自己掌握的权力。,,,lyzq,22885
深入人心,shēn  rù  rén  xīn,指理论、学说、政策等为人们深切了解和信服。,明·冯梦龙《东周列国志》第二十回：“且君新得诸侯，非有存亡兴灭之德，深入人心，恐诸侯之兵，不为我用。”,可是总没有这位先生的讲说那样一句句～。（叶圣陶《英文教授》）,srrx,22071
见义勇为,jiàn  yì  yǒng  wéi,看到正义的事，就勇敢地去做。,《论语·为政》：“见义不为，无勇也。”,～真汉子，莫将成败论英雄。（明·冯梦龙《东周列国志》第十四回）,jyyw,21157
敲诈勒索,qiāo  zhà  lè  suǒ,依仗势力或抓住把柄进行恐吓，用威胁手段索取财物。,,一名宋福，一名王大路，专门纠察库仑比的淘金工作和山林工人，为非作歹，～，无恶不作。（曲波《林海雪原》三三）,qzls,20827
名不虚传,míng  bù  xū  chuán,传出的名声不是虚假的。指实在很好，不是空有虚名。,《史记·游侠列传》：“然其私意廉洁退让，有足称者，名不虚言，士不虚附。”,系船白面问溪翁，～说未通。（宋·华岳《白面渡》诗）,mbxc,20236
来之不易,lái  zhī  bù  yì,来之：使之来。得到它不容易。表示财物的取得或事物的成功是不容易的。,明·朱柏庐《治家格言》：“一粥一饭，当思来处不易；半丝半缕，恒念物力维艰。”,,lzby,20180
名副其实,míng  fù  qí  shí,名声或名义和实际相符。,汉·曹操《与王修书》：“君澡身浴德，流声本州，忠能成绩，为世美谈，名实相符，过人甚远。”,而况教育能不能～，还是个不能便下断语的问题。（叶圣陶《桥上》）,mfqs,20015
坚持不懈,jiān  chí  bù  xiè,坚持到底，一点不忪懈。,,这些都证明我们对于加强统一战线实行革命政策来进行抗日战争的这种方针，是～的。（毛泽东《和英国记者贝特兰的谈话》）,jcbx,19818
